iti_id,iti_name,district,industrial_cluster,tier,iti_type,course_name,sector,nsqf_level,duration_months,annual_intake_seats,placement_rate_pct,skills_taught,skills_gap,demand_alignment,mismatch_flag
ITI-MH-0001,Tata Strive Centre Chakan,Pune,Chakan,metro,Govt,Plumber,Construction,3,12,41,52.2,pipe fitting; sanitary installation; plumbing drawings; water treatment basics; pressure testing,CPVC/HDPE piping; rainwater harvesting systems; fire suppression piping; BIM coordination,Stable,BALANCED
ITI-MH-0001,Tata Strive Centre Chakan,Pune,Chakan,metro,Govt,Turner / Machinist,Precision Engg,3,24,40,48.4,lathe operation; turning & facing; boring & drilling; measurement tools; coolant management,CNC turning centres; live tooling; precision grinding; CMM measurement; ISO 9001 documentation,Stable,BALANCED
ITI-MH-0001,Tata Strive Centre Chakan,Pune,Chakan,metro,Pvt,Robotics & Automation,Adv Manufacturing,5,12,19,89.7,PLC programming; servo motor calibration; robot teach pendant; pneumatic systems; FANUC/KUKA commissioning,collaborative robot (cobot) programming; digital twin simulation; safety PLC; vision-guided robotics; ROS basics,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0002,KVK ITI Pune,Pune,Chakan,metro,Pvt,CNC/VMC Operator,Precision Engg,4,12,30,70.9,G-code programming; Fanuc CNC controls; tool offsets; quality inspection; CAD/CAM basics; tolerance measurement,5-axis machining; Mastercam post-processing; in-process gauging; robotic tending; digital twin simulation,Stable,BALANCED
ITI-MH-0002,KVK ITI Pune,Pune,Chakan,metro,Pvt,AI-Quality Inspection Tech,Adv Manufacturing,5,12,8,71.2,computer vision basics; image annotation; CMM operation; SPC analysis; defect classification; Python/ML awareness,model retraining pipelines; edge AI deployment; generative AI for test data; ISO 17025 lab accreditation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0002,KVK ITI Pune,Pune,Chakan,metro,Pvt,Industrial IoT Technician,Industry 4.0,5,12,20,68.9,MQTT protocol; OPC-UA; edge computing; sensor calibration; Python scripting; cloud dashboards,cybersecurity for OT networks; digital thread; 5G private network config; ML-based anomaly detection,Emerging,BALANCED
ITI-MH-0002,KVK ITI Pune,Pune,Chakan,metro,Govt,Shorthand & Stenography,Administration,2,12,45,8.1,Pitman shorthand; typing speed 60wpm; MS Word; filing systems; basic correspondence,digital transcription tools; voice-to-text software; calendar management; CRM usage,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0002,KVK ITI Pune,Pune,Chakan,metro,Govt,Data Entry & Office Automation,IT/BPO,2,12,30,15.6,MS Office; typing speed 40wpm; basic internet browsing; data formatting; tally basics,AI/ML awareness; RPA tools; cloud-based ERP; Python scripting; database querying,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0003,Lok Shikshan Sanstha ITI Ranjangaon,Pune,Ranjangaon,metro,Pvt,AI-Quality Inspection Tech,Adv Manufacturing,5,12,12,64.3,computer vision basics; image annotation; CMM operation; SPC analysis; defect classification; Python/ML awareness,model retraining pipelines; edge AI deployment; generative AI for test data; ISO 17025 lab accreditation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0003,Lok Shikshan Sanstha ITI Ranjangaon,Pune,Ranjangaon,metro,Pvt,AC & Refrigeration Mechanic,HVAC,4,24,25,59.8,VRF systems; refrigerant handling; gas charging; electrical troubleshooting; BMS controls; AMC documentation,IoT-enabled HVAC monitoring; heat pump systems; cold-chain reefer servicing; LEED commissioning,Stable,BALANCED
ITI-MH-0003,Lok Shikshan Sanstha ITI Ranjangaon,Pune,Ranjangaon,metro,Pvt,Green Building & Energy Audit,Construction,4,6,5,72.9,IGBC norms; MEP coordination; energy auditing basics; rainwater harvesting; BIM awareness; EV charging infra,ECBC compliance documentation; net-zero building modelling; green rating auditing; thermal comfort simulation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0003,Lok Shikshan Sanstha ITI Ranjangaon,Pune,Ranjangaon,metro,Govt,Plumber,Construction,3,12,32,35.1,pipe fitting; sanitary installation; plumbing drawings; water treatment basics; pressure testing,CPVC/HDPE piping; rainwater harvesting systems; fire suppression piping; BIM coordination,Stable,BALANCED
