job_id,job_title,sector,district,industrial_cluster,required_micro_skills,nsqf_level,proficiency_level,experience_required_years,min_salary,max_salary,posting_source,demand_trend
A596A14F,Welder (MIG/TIG/Arc),Engineering,Pune,Ranjangaon,distortion control; weld inspection; MIG welding,3,L1,1.1,14501,27914,Mahaswayam,Stable
2A013A0D,Industrial Robotics Maintenance Technician,Advanced Manufacturing,Nashik,Ambad,servo motor calibration; pneumatic systems; robot teach pendant; PLC programming; FANUC/KUKA commissioning; safety PLCs,5,L2,3.9,27498,50228,Company Website,Emerging
6301244A,Solar PV Installation Technician,Renewable Energy,Solapur,Chincholi,string inverter commissioning; DC cabling; net metering; rooftop module mounting; shadow analysis,4,L3,0.3,14589,29906,Times Jobs,Emerging
34B65F29,Turnerr / Machinist,Precision Engineering,Buldhana,Buldhana MIDC,turning & facing; lathe operation; coolant management,3,L2,4.0,10642,19087,Times Jobs,Stable
BA0C0710,AI-assisted Quality Inspector,Advanced Manufacturing,Mumbai,Andheri-MIDC,defect classification; image annotation; Python/ML awareness,5,L3,2.1,28858,54990,apna.co,Emerging
E4901D71,AI-assisted Quality Inspector,Advanced Manufacturing,Nashik,Sinnar,image annotation; computer vision basics; CMM operation,5,L3,3.7,27481,46349,Indeed,Emerging
1E73F4FB,Solar PV Installation Technician,Renewable Energy,Osmanabad,Osmanabad MIDC,rooftop module mounting; earthing & bonding; net metering; string inverter commissioning; DC cabling; shadow analysis,4,L3,1.2,12435,25669,Indeed,Emerging
C122F765,Cold-Chain Logistics Coordinator,Logistics & Supply Chain,Pune,Talegaon,WMS software; inventory management; temperature monitoring; reefer truck ops,4,L1,0.2,18186,37295,Indeed,Emerging
0D883060,Welder (MIG/TIG/Arc),Engineering,Aurangabad,Shendra-AURIC,PPE compliance; SMAW; MIG welding; TIG welding; distortion control,3,L1,5.4,13733,24347,apna.co,Stable
F02E7C58,AI-assisted Quality Inspector,Advanced Manufacturing,Akola,Murtizapur,Python/ML awareness; defect classification; image annotation; computer vision basics; SPC analysis,5,L1,3.0,23050,38588,apna.co,Emerging
E95D1107,Fitter (Industrial),Engineering,Jalgaon,Jalgaon MIDC,assembly & fitting; bench work; surface finishing; measurement tools; thread cutting,3,L3,0.2,12143,22665,Naukri.com,Stable
32003189,Electrician (Industrial),Electrical,Nanded,Nanded MIDC,earthing; electrical drawings; safety regulations; motor winding; PLC basics; panel wiring,3,L1,5.7,10762,22196,Company Website,Stable
3B9967E3,Green Building Technician,Construction,Pune,Pimpri-Chinchwad,BIM awareness; MEP coordination; IGBC norms; rainwater harvesting,4,L2,2.0,18460,32662,Mahaswayam,Emerging
226166A9,CNC/VMC Operator,Precision Engineering,Buldhana,Buldhana MIDC,tolerance measurement; CAD/CAM basics; quality inspection; G-code programming,4,L2,1.4,14552,27974,NCS Portal,Stable
DEC54AF0,AC & Refrigeration Technician,HVAC,Mumbai,Thane-Wagle,AMC documentation; VRF systems; BMS controls,4,L2,2.5,16882,32051,Indeed,Stable
E3846570,Electrician (Industrial),Electrical,Osmanabad,Osmanabad MIDC,earthing; motor winding; PLC basics; panel wiring; electrical drawings; safety regulations,3,L2,1.1,11009,21034,Naukri.com,Stable
4EDB5D86,EV Battery Assembly Technician,Electric Vehicles,Yavatmal,Yavatmal MIDC,spot welding; Li-ion cell handling; BMS calibration; DC bus wiring,4,L2,0.5,18043,31343,Mahaswayam,Emerging
278A9033,Textile Loom Operator,Textiles,Kolhapur,Gokul-Shirgaon,quality grading; warp/weft threading; power loom setup; loom maintenance; shuttle changeover,3,L3,5.7,9433,16006,Mahaswayam,Declining
BE35FF7F,Fitter (Industrial),Engineering,Nagpur,MIDC Nagpur,bench work; thread cutting; surface finishing; blueprint reading,3,L2,0.4,13242,22914,Naukri.com,Stable
648CF7EF,Welder (MIG/TIG/Arc),Engineering,Amravati,Nandgaonpeth,distortion control; MIG welding; weld inspection,3,L2,7.5,12306,22631,Company Website,Stable
DF71C534,Manual Draftsman (Drawing Board),Engineering,Mumbai,Thane-Wagle,basic AutoCAD; T-square drafting; manual drawing board; 2D blueprint reading,3,L1,1.3,10321,16688,NCS Portal,Declining
1CAB7CAA,Welder (MIG/TIG/Arc),Engineering,Nagpur,Butibori,MIG welding; TIG welding; SMAW; distortion control; PPE compliance,3,L1,1.7,12750,26502,NCS Portal,Stable
422EED9B,Turnerr / Machinist,Precision Engineering,Solapur,Akkalkot,lathe operation; turning & facing; measurement tools; coolant management; boring & drilling,3,L2,4.0,13683,22712,apna.co,Stable
6667E511,Solar PV Installation Technician,Renewable Energy,Raigad,Taloja,string inverter commissioning; DC cabling; earthing & bonding,4,L1,1.5,14418,26911,Mahaswayam,Emerging
22C30D0A,EV Battery Assembly Technician,Electric Vehicles,Kolhapur,Gokul-Shirgaon,Li-ion cell handling; DC bus wiring; BMS calibration,4,L2,1.3,20130,39486,Mahaswayam,Emerging
5ED0C596,Turnerr / Machinist,Precision Engineering,Aurangabad,Shendra-AURIC,boring & drilling; turning & facing; coolant management,3,L3,1.8,12861,22851,LinkedIn,Stable
99D17A5F,Electrician (Industrial),Electrical,Thane,Murbad,earthing; safety regulations; PLC basics; panel wiring,3,L3,4.5,14832,29542,apna.co,Stable
A5CD1414,Electrician (Industrial),Electrical,Thane,Dombivli-MIDC,PLC basics; panel wiring; safety regulations,3,L2,1.6,15371,28016,LinkedIn,Stable
DEAB186A,CNC/VMC Operator,Precision Engineering,Thane,Bhiwandi,G-code programming; tool offsets; CAD/CAM basics; quality inspection; Fanuc CNC controls,4,L2,3.3,18456,36096,Company Website,Stable
78EF970C,Manual Draftsman (Drawing Board),Engineering,Pune,Ranjangaon,basic AutoCAD; T-square drafting; 2D blueprint reading,3,L1,4.8,10182,17389,Indeed,Declining
2E49F37D,Welder (MIG/TIG/Arc),Engineering,Aurangabad,Shendra-AURIC,distortion control; PPE compliance; TIG welding,3,L2,2.0,13780,25078,Company Website,Stable
0F94A66B,Green Building Technician,Construction,Nandurbar,Nandurbar MIDC,rainwater harvesting; energy auditing basics; MEP coordination; IGBC norms; EV charging infra,4,L2,2.5,13755,25530,Indeed,Emerging
21482A0B,Electrician (Industrial),Electrical,Jalna,Ambad-Jalna,PLC basics; electrical drawings; motor winding; earthing,3,L1,5.0,11331,22494,NCS Portal,Stable
35A51149,Green Building Technician,Construction,Nagpur,MIDC Nagpur,IGBC norms; MEP coordination; energy auditing basics; EV charging infra; rainwater harvesting,4,L2,1.3,16547,31858,apna.co,Emerging
A77A6208,EV Battery Assembly Technician,Electric Vehicles,Palghar,Manor,DC bus wiring; spot welding; EV safety protocols; BMS calibration,4,L2,0.2,19780,36357,LinkedIn,Emerging
2A5CEFAB,CNC/VMC Operator,Precision Engineering,Parbhani,Parbhani MIDC,G-code programming; CAD/CAM basics; Fanuc CNC controls; tolerance measurement; quality inspection; tool offsets,4,L3,0.9,14370,27896,NCS Portal,Stable
2EE1605F,Electrician (Industrial),Electrical,Wardha,Hinganghat,earthing; PLC basics; electrical drawings; safety regulations; panel wiring; motor winding,3,L3,2.6,11406,22317,NCS Portal,Stable
0CE7F563,Welder (MIG/TIG/Arc),Engineering,Mumbai,BKC,TIG welding; PPE compliance; distortion control,3,L1,2.2,14585,27960,Indeed,Stable
547C26CC,Electrician (Industrial),Electrical,Sangli,Miraj,earthing; PLC basics; electrical drawings,3,L2,2.0,12329,23809,Mahaswayam,Stable
34E5495A,Turnerr / Machinist,Precision Engineering,Nashik,Ambad,coolant management; turning & facing; measurement tools; lathe operation,3,L3,4.5,13320,23903,Times Jobs,Stable
F2C54041,Green Building Technician,Construction,Thane,Murbad,MEP coordination; BIM awareness; IGBC norms; EV charging infra; rainwater harvesting; energy auditing basics,4,L1,2.2,19390,35669,Indeed,Emerging
8E02AC26,Industrial Robotics Maintenance Technician,Advanced Manufacturing,Pune,Ranjangaon,robot teach pendant; pneumatic systems; safety PLCs; PLC programming; servo motor calibration; FANUC/KUKA commissioning,5,L1,1.8,29552,56681,Mahaswayam,Emerging
ED586D0D,Textile Loom Operator,Textiles,Dhule,Dhule MIDC,warp/weft threading; power loom setup; shuttle changeover,3,L1,0.2,8999,14618,apna.co,Declining
7E6C65C7,Solar PV Installation Technician,Renewable Energy,Nashik,Sinnar,shadow analysis; net metering; string inverter commissioning; DC cabling,4,L2,2.1,14846,30254,Times Jobs,Emerging
B64DC473,Industrial Robotics Maintenance Technician,Advanced Manufacturing,Aurangabad,Chikalthana,PLC programming; robot teach pendant; safety PLCs; FANUC/KUKA commissioning,5,L1,4.8,26737,51849,Mahaswayam,Emerging
AB0A3329,Cold-Chain Logistics Coordinator,Logistics & Supply Chain,Nagpur,Butibori,temperature monitoring; inventory management; FSSAI cold-chain norms; route optimization; reefer truck ops; WMS software,4,L3,1.4,17236,33432,Indeed,Emerging
